tweet,date,comments,shares,likes,views,language
To @BBCJustinR,2024-05-22T12:00:36.000Z,,,,106.0,en
The real environmentalist finally arrive!,2024-05-22T09:28:52.000Z,,,,140.0,en
Indubitably.,2024-05-22T11:33:49.000Z,,,1.0,54.0,en
@NZNationalParty  @nzfirst  @RB_ACTNZ,2024-05-22T21:05:10.000Z,,,,153.0,en
Keep saying it!,2024-05-23T11:31:56.000Z,,,,11.0,en
Yup it was and is.,2024-05-22T14:06:51.000Z,,,,61.0,en
,2024-05-22T10:41:31.000Z,,,,95.0,en
Wow,2024-05-23T07:32:28.000Z,,,,14.0,en
Yep!,2024-05-23T11:48:47.000Z,,,,11.0,en
My man!,2024-05-22T10:36:04.000Z,,1.0,173.0,,en
Yes it was for purpose of controlling energy sector. Who controls energy controls the world.,2024-05-22T11:40:51.000Z,,,2.0,117.0,en
"Liar for sale to the highest bidder, Patrick Moore.",2024-05-22T08:49:23.000Z,,,3.0,249.0,en
@MonaKeijzer  @VVD  @PieterOmtzigt  @leondejong  @2eKamertweets,2024-05-22T10:38:52.000Z,,,1.0,109.0,en
@dferris1961,2024-05-22T12:01:00.000Z,,,1.0,86.0,en
Their plan is to ‘make it so’ with: cloud seeding; HAARP; the deliberate degradation of soil; (partially) blocking out the sun; etc.. The AGW/ carbon propaganda is about pre-programming the acceptance of the response (global fascism) to the upcoming manufactured crises.,2024-05-22T08:32:52.000Z,,2.0,1.0,205.0,en
"Exactly, it’s about money. They don’t seem to take enough money from us. They always look for more ways to make us pay for everything they own.",2024-05-22T15:54:22.000Z,,,2.0,35.0,en
"I was wondering where Green Peace was?  Fully agree, stealing of Trillions for nonsense.  We have wasted 20 years on this.",2024-05-22T13:18:26.000Z,,,1.0,44.0,en
"That's exactly why they predicted that, with incr. CO2 the earth would either heat up or the Gulf Stream would come to a standstill and it would become bitterly cold. They are always right with this ""prediction"" Why doesn't anyone realize that such ""modeling"" has no value at all?",2024-05-22T17:46:33.000Z,,2.0,2.0,96.0,en
I am with you on this 100%.,2024-05-24T03:43:28.000Z,,,,6.0,en
To @BBCJustinR,2024-05-22T12:00:36.000Z,,,,106.0,en
The real environmentalist finally arrive!,2024-05-22T09:28:52.000Z,,,,140.0,en
Indubitably.,2024-05-22T11:33:49.000Z,,,1.0,54.0,en
